BAM_ID	Tree_ID	ENA_sample_accession	Parent_Tree_ID	frac_genome_1_read_or_more	frac_genome_5_read_or_more	frac_genome_10_read_or_more
PG0125-C	3D7_P	ERS571523	NA	100.00	99.99	99.99
PG0134-C	3D7_1a	ERS571532	3D7_P	100.00	99.99	99.99
PG0135-C	3D7_1b	ERS571533	3D7_P	99.91	99.84	99.83
PG0136-C	3D7_1c	ERS571534	3D7_P	99.87	98.20	93.27
PG0137-C	3D7_1d	ERS571535	3D7_P	98.94	88.56	71.80
PG0138-C	3D7_1e	ERS571536	3D7_P	99.98	99.47	97.60
PG0139-C	3D7_1f	ERS571537	3D7_P	99.99	99.69	98.33
PG0140-C	3D7_1g	ERS571538	3D7_P	99.96	99.30	96.91
PG0141-C	3D7_1h	ERS571542	3D7_P	99.98	99.47	97.30
PG0214-C	3D7_1i	ERS571627	3D7_P	99.94	99.88	99.40
PG0215-C	3D7_1j	ERS571628	3D7_P	99.90	99.87	99.83
PG0216-C	3D7_1k	ERS571630	3D7_P	99.85	99.70	98.84
PG0217-C	3D7_1l	ERS571631	3D7_P	99.99	99.96	99.68
PG0218-C	3D7_1m	ERS571633	3D7_P	99.73	99.61	99.23
PG0232-C	3D7_1n	ERS571650	3D7_P	99.84	99.01	96.85
PG0233-C	3D7_1o	ERS571651	3D7_P	99.83	98.64	95.75
PG0234-C	3D7_1p	ERS571652	3D7_P	99.89	98.27	94.74
PG0235-C	3D7_1q	ERS571653	3D7_P	99.96	99.13	96.86
PG0236-C	3D7_1r	ERS571654	3D7_P	99.88	99.08	96.91
PG0245-C	3D7_1s	ERS571792	3D7_P	99.67	97.67	94.08
PG0383-C	3D7_(m)2a	ERS571912	3D7_1m	99.79	99.67	99.64
PG0386-C	3D7_(m)2b	ERS571915	3D7_1m	99.75	99.65	99.60
PG0387-C	3D7_(m)2c	ERS571916	3D7_1m	99.76	99.66	99.63
PG0388-C	3D7_(m)2d	ERS571917	3D7_1m	99.77	99.66	99.63
PG0371-C	3D7_(m)2e	ERS571951	3D7_1m	99.73	99.60	98.95
PG0282-C	3D7_2a	ERS571829	3D7_1o	97.58	83.73	69.04
PG0304-C	3D7_2b	ERS571851	3D7_1o	97.91	82.91	64.78
PG0312-C	3D7_2c	ERS571859	3D7_1o	98.65	87.21	71.10
PG0313-C	3D7_2d	ERS571860	3D7_1o	99.04	90.44	78.69
PG0326-C	3D7_(o)2e	ERS571918	3D7_1o	99.84	99.71	98.49
PG0328-C	3D7_(o)2f	ERS571919	3D7_1o	99.89	99.80	99.64
PG0329-C	3D7_(o)2g	ERS571920	3D7_1o	99.86	99.76	99.19
PG0416-C	3D7_(m)3a	ERS572102	3D7_(m)2e	99.53	94.94	85.50
PG0417-C	3D7_(m)3b	ERS572103	3D7_(m)2e	99.64	97.39	90.68
PG0418-C	3D7_(m)3c	ERS572104	3D7_(m)2e	99.62	96.61	88.62
PG0419-C	3D7_(m)3d	ERS572105	3D7_(m)2e	99.64	97.16	89.99
PG0420-C	3D7_(m)3e	ERS572106	3D7_(m)2e	99.62	96.55	88.56
PG0421-C	3D7_(m)3f	ERS572107	3D7_(m)2e	99.64	97.15	90.00
PG0126-C	W2_P	ERS571524	NA	98.17	97.14	96.64
PG0142-C	W2_1a	ERS571543	W2_P	97.94	96.27	93.70
PG0144-C	W2_1c	ERS571545	W2_P	98.67	96.93	96.08
PG0145-C	W2_1d	ERS571546	W2_P	97.83	95.77	91.97
PG0146-C	W2_1e	ERS571547	W2_P	98.19	97.16	96.21
PG0147-C	W2_1f	ERS571548	W2_P	97.48	93.56	86.37
PG0148-C	W2_1g	ERS571549	W2_P	97.31	92.25	83.82
PG0149-C	W2_1h	ERS571550	W2_P	97.43	94.36	88.70
